,Cluster
0,"[0.000000,0.174303)"
1,"[0.174303,0.194097)"
2,"[0.194097,0.417017)"
3,"[0.417017,0.579135)"
4,"[0.579135,0.778422)"
5,"[0.778422,0.834168)"
