,Weight
KNN_pendigits_FOLD4,0.0648937846871
SVM_pendigits_FOLD4,0.0660159990806
SVM_pendigits_FOLD3,0.0647896502698
SVM_pendigits_FOLD2,0.0657923409234
SVM_pendigits_FOLD1,0.065235078808
SVM_pendigits_FOLD0,0.0656799511851
MLP_pendigits_FOLD2,0.0612784406736
MLP_pendigits_FOLD3,0.0594362081441
MLP_pendigits_FOLD0,0.061604263619
MLP_pendigits_FOLD1,0.059550998737
MLP_pendigits_FOLD4,0.0604156548335
KNN_pendigits_FOLD0,0.0651149343039
KNN_pendigits_FOLD1,0.0651156814456
KNN_pendigits_FOLD2,0.0634589179041
KNN_pendigits_FOLD3,0.065785341164
GaussianNB_pendigits_FOLD3,0.0
GaussianNB_pendigits_FOLD2,0.0
GaussianNB_pendigits_FOLD1,0.0
GaussianNB_pendigits_FOLD0,0.0
GaussianNB_pendigits_FOLD4,0.0
LR_pendigits_FOLD4,0.0
LR_pendigits_FOLD0,0.0
LR_pendigits_FOLD1,0.0
LR_pendigits_FOLD2,0.0
LR_pendigits_FOLD3,0.0
Decision_Tree_pendigits_FOLD0,0.0
Decision_Tree_pendigits_FOLD1,0.0
Decision_Tree_pendigits_FOLD2,0.0
Decision_Tree_pendigits_FOLD3,0.0458327542212
Decision_Tree_pendigits_FOLD4,0.0
