,Weight
SVM_waveform_noise_FOLD3,0.0
SVM_waveform_noise_FOLD2,0.141626572979
SVM_waveform_noise_FOLD1,0.0
SVM_waveform_noise_FOLD0,0.0
SVM_waveform_noise_FOLD4,0.0
KNN_waveform_noise_FOLD4,0.0
KNN_waveform_noise_FOLD2,0.0
KNN_waveform_noise_FOLD3,0.0
KNN_waveform_noise_FOLD0,0.0
KNN_waveform_noise_FOLD1,0.0
MLP_waveform_noise_FOLD4,0.0
MLP_waveform_noise_FOLD0,0.0
MLP_waveform_noise_FOLD1,0.0
MLP_waveform_noise_FOLD2,0.135907069419
MLP_waveform_noise_FOLD3,0.0
GaussianNB_waveform_noise_FOLD3,0.0
GaussianNB_waveform_noise_FOLD2,0.0
GaussianNB_waveform_noise_FOLD1,0.0
GaussianNB_waveform_noise_FOLD0,0.0
GaussianNB_waveform_noise_FOLD4,0.0
LR_waveform_noise_FOLD4,0.144018651669
LR_waveform_noise_FOLD2,0.148116621851
LR_waveform_noise_FOLD3,0.144800352467
LR_waveform_noise_FOLD0,0.141504364724
LR_waveform_noise_FOLD1,0.144026366891
Decision_Tree_waveform_noise_FOLD2,0.0
Decision_Tree_waveform_noise_FOLD3,0.0
Decision_Tree_waveform_noise_FOLD0,0.0
Decision_Tree_waveform_noise_FOLD1,0.0
Decision_Tree_waveform_noise_FOLD4,0.0
