,Weight
SVM_waveform_noise_FOLD3,0.0
SVM_waveform_noise_FOLD2,0.0
SVM_waveform_noise_FOLD1,0.0
SVM_waveform_noise_FOLD0,0.0
SVM_waveform_noise_FOLD4,0.0
KNN_waveform_noise_FOLD4,0.0
KNN_waveform_noise_FOLD2,0.0
KNN_waveform_noise_FOLD3,0.0
KNN_waveform_noise_FOLD0,0.0
KNN_waveform_noise_FOLD1,0.0
MLP_waveform_noise_FOLD4,0.0
MLP_waveform_noise_FOLD0,0.0
MLP_waveform_noise_FOLD1,0.0
MLP_waveform_noise_FOLD2,0.0
MLP_waveform_noise_FOLD3,0.0
GaussianNB_waveform_noise_FOLD3,0.0
GaussianNB_waveform_noise_FOLD2,0.0
GaussianNB_waveform_noise_FOLD1,0.0
GaussianNB_waveform_noise_FOLD0,0.0
GaussianNB_waveform_noise_FOLD4,0.0
LR_waveform_noise_FOLD4,0.0
LR_waveform_noise_FOLD2,1.0
LR_waveform_noise_FOLD3,0.0
LR_waveform_noise_FOLD0,0.0
LR_waveform_noise_FOLD1,0.0
Decision_Tree_waveform_noise_FOLD2,0.0
Decision_Tree_waveform_noise_FOLD3,0.0
Decision_Tree_waveform_noise_FOLD0,0.0
Decision_Tree_waveform_noise_FOLD1,0.0
Decision_Tree_waveform_noise_FOLD4,0.0
