,Weight
LR_breast_cancer_FOLD1,0.0
LR_breast_cancer_FOLD0,0.0
LR_breast_cancer_FOLD3,0.0790727674085
LR_breast_cancer_FOLD2,0.0715844534303
LR_breast_cancer_FOLD4,0.0
KNN_breast_cancer_FOLD4,0.0689137844069
KNN_breast_cancer_FOLD1,0.0597396510065
KNN_breast_cancer_FOLD0,0.0
KNN_breast_cancer_FOLD3,0.0697628980394
KNN_breast_cancer_FOLD2,0.0681095096755
Decision_Tree_breast_cancer_FOLD4,0.0613874086802
Decision_Tree_breast_cancer_FOLD1,0.0613874086802
Decision_Tree_breast_cancer_FOLD0,0.0613874086802
Decision_Tree_breast_cancer_FOLD3,0.0613874086802
Decision_Tree_breast_cancer_FOLD2,0.0613874086802
GaussianNB_breast_cancer_FOLD4,0.0
GaussianNB_breast_cancer_FOLD2,0.0
GaussianNB_breast_cancer_FOLD3,0.0
GaussianNB_breast_cancer_FOLD0,0.0
GaussianNB_breast_cancer_FOLD1,0.0
MLP_breast_cancer_FOLD4,0.0
MLP_breast_cancer_FOLD3,0.0
MLP_breast_cancer_FOLD2,0.0
MLP_breast_cancer_FOLD1,0.0
MLP_breast_cancer_FOLD0,0.0
SVM_breast_cancer_FOLD4,0.0
SVM_breast_cancer_FOLD2,0.050356324296
SVM_breast_cancer_FOLD3,0.101610365501
SVM_breast_cancer_FOLD0,0.050356324296
SVM_breast_cancer_FOLD1,0.0735568785389
