,Cluster
0,"[0.000000,0.206849)"
1,"[0.206849,0.218411)"
2,"[0.218411,0.544277)"
3,"[0.544277,0.550366)"
4,"[0.550366,0.590107)"
5,"[0.590107,0.609341)"
