,Weight
MLP_krkopt_FOLD3,0.0915581310395
MLP_krkopt_FOLD2,0.0912598285216
MLP_krkopt_FOLD1,0.0904777958367
MLP_krkopt_FOLD0,0.088821755646
MLP_krkopt_FOLD4,0.0901271633477
KNN_krkopt_FOLD1,0.0
KNN_krkopt_FOLD0,0.0
KNN_krkopt_FOLD3,0.0
KNN_krkopt_FOLD2,0.0
KNN_krkopt_FOLD4,0.0
LR_krkopt_FOLD4,0.0
LR_krkopt_FOLD1,0.0
LR_krkopt_FOLD0,0.0
LR_krkopt_FOLD3,0.0
LR_krkopt_FOLD2,0.0
Decision_Tree_krkopt_FOLD4,0.0925877393264
Decision_Tree_krkopt_FOLD1,0.0923786526824
Decision_Tree_krkopt_FOLD0,0.0923732745521
Decision_Tree_krkopt_FOLD3,0.0926044866318
Decision_Tree_krkopt_FOLD2,0.0934267249763
SVM_krkopt_FOLD0,0.0843844474395
SVM_krkopt_FOLD1,0.0
SVM_krkopt_FOLD2,0.0
SVM_krkopt_FOLD3,0.0
SVM_krkopt_FOLD4,0.0
GaussianNB_krkopt_FOLD4,0.0
GaussianNB_krkopt_FOLD0,0.0
GaussianNB_krkopt_FOLD1,0.0
GaussianNB_krkopt_FOLD2,0.0
GaussianNB_krkopt_FOLD3,0.0
