,Weight
MLP_krkopt_FOLD3,0.124287061294
MLP_krkopt_FOLD2,0.123882125731
MLP_krkopt_FOLD1,0.122820542853
MLP_krkopt_FOLD0,0.0
MLP_krkopt_FOLD4,0.0
KNN_krkopt_FOLD1,0.0
KNN_krkopt_FOLD0,0.0
KNN_krkopt_FOLD3,0.0
KNN_krkopt_FOLD2,0.0
KNN_krkopt_FOLD4,0.0
LR_krkopt_FOLD4,0.0
LR_krkopt_FOLD1,0.0
LR_krkopt_FOLD0,0.0
LR_krkopt_FOLD3,0.0
LR_krkopt_FOLD2,0.0
Decision_Tree_krkopt_FOLD4,0.125684719665
Decision_Tree_krkopt_FOLD1,0.125400891629
Decision_Tree_krkopt_FOLD0,0.125393590999
Decision_Tree_krkopt_FOLD3,0.125707453565
Decision_Tree_krkopt_FOLD2,0.126823614264
SVM_krkopt_FOLD0,0.0
SVM_krkopt_FOLD1,0.0
SVM_krkopt_FOLD2,0.0
SVM_krkopt_FOLD3,0.0
SVM_krkopt_FOLD4,0.0
GaussianNB_krkopt_FOLD4,0.0
GaussianNB_krkopt_FOLD0,0.0
GaussianNB_krkopt_FOLD1,0.0
GaussianNB_krkopt_FOLD2,0.0
GaussianNB_krkopt_FOLD3,0.0
