,Weight
GaussianNB_statlog_satimage_FOLD3,0.0
Decision_Tree_statlog_satimage_FOLD4,0.0
SVM_statlog_satimage_FOLD2,0.0637056155823
KNN_statlog_satimage_FOLD2,0.0630426403882
SVM_statlog_satimage_FOLD1,0.0637401293246
GaussianNB_statlog_satimage_FOLD0,0.0596533365321
GaussianNB_statlog_satimage_FOLD4,0.0
SVM_statlog_satimage_FOLD3,0.0637007049972
GaussianNB_statlog_satimage_FOLD2,0.0
GaussianNB_statlog_satimage_FOLD1,0.0
SVM_statlog_satimage_FOLD0,0.0637620943583
SVM_statlog_satimage_FOLD4,0.0637575415876
MLP_statlog_satimage_FOLD0,0.0613241376546
MLP_statlog_satimage_FOLD1,0.0615097969472
MLP_statlog_satimage_FOLD2,0.0612070927314
MLP_statlog_satimage_FOLD3,0.0613340075961
MLP_statlog_satimage_FOLD4,0.0612661479004
Decision_Tree_statlog_satimage_FOLD2,0.0
KNN_statlog_satimage_FOLD3,0.0630920998383
KNN_statlog_satimage_FOLD0,0.0629797519905
Decision_Tree_statlog_satimage_FOLD1,0.0
KNN_statlog_satimage_FOLD4,0.0628426615959
LR_statlog_satimage_FOLD2,0.0
LR_statlog_satimage_FOLD3,0.0
LR_statlog_satimage_FOLD0,0.0
LR_statlog_satimage_FOLD1,0.0
LR_statlog_satimage_FOLD4,0.0
Decision_Tree_statlog_satimage_FOLD3,0.0
Decision_Tree_statlog_satimage_FOLD0,0.0
KNN_statlog_satimage_FOLD1,0.0630822409753
